ID,city name,lat,lng,country,iso2,population
1,Suzhou,31.3,120.6194,China,CN,4330000
2,Boston,42.3188,-71.0852,United States,US,4328315
3,Izmir,38.42,27.14,Turkey,TR,4320519
4,Guigang,23.112,109.599,China,CN,4316262
5,Shantou,23.354,116.682,China,CN,4312192
6,Kabul,34.5253,69.1783,Afghanistan,AF,4273156
7,Xiaoganzhan,30.918,113.957,China,CN,4270371
8,Bamako,12.6392,-8.0028,Mali,ML,4227569
9,Luzhou,28.871,105.442,China,CN,4218427
10,Hefei,31.8206,117.2273,China,CN,4216940
11,Hengshui,37.739,115.669,China,CN,4212933
12,Fortaleza,-3.7275,-38.5275,Brazil,BR,4167996
13,Anqing,30.5318,117.1153,China,CN,4165284
14,Liuzhou,24.3264,109.4281,China,CN,4157934
15,Zhangjiakou,40.769,114.886,China,CN,4118908
16,Zhaoqing,23.05,112.4667,China,CN,4113594
17,Shijiazhuang,38.0425,114.51,China,CN,4098243
18,Ningbo,29.8603,121.6245,China,CN,4087523
19,Qiqihar,47.3549,123.9182,China,CN,4067489
20,Phoenix,33.5722,-112.0892,United States,US,4064275
21,Fuzhou,27.949,116.358,China,CN,4047200
22,Chifeng,42.257,118.888,China,CN,4035967
23,Xiaoxita,30.692,111.287,China,CN,4017607
24,Amman,31.9497,35.9328,Jordan,JO,4007526
25,Chuzhou,32.256,118.333,China,CN,3987054
26,Linfen,36.088,111.519,China,CN,3976481
27,Qingyuan,23.682,113.056,China,CN,3969473
28,Xianyang,34.3299,108.7088,China,CN,3959842
29,Loudi,27.6998,111.9944,China,CN,3931800
30,Binzhou,37.383,117.971,China,CN,3928568
31,Zhuzhou,27.829,113.133,China,CN,3902738
32,Taiyuan,37.8704,112.5497,China,CN,3875053
33,Nanning,22.8167,108.3275,China,CN,3837978
34,Harbin,45.7576,126.6409,China,CN,3830000
35,Abuja,9.0667,7.4833,Nigeria,NG,3770000
36,Yokohama,35.4442,139.6381,Japan,JP,3757630
37,Suihua,46.654,126.969,China,CN,3756167
38,Zaozhuang,34.8109,117.3238,China,CN,3729140
39,Detroit,42.3834,-83.1024,United States,US,3725908
40,Xiamen,24.4796,118.0889,China,CN,3707090
41,Neijiang,29.5802,105.058,China,CN,3702847
42,Montreal,45.5089,-73.5617,Canada,CA,3675219
43,Fuzhou,26.0743,119.2964,China,CN,3671192
44,Baicheng,23.903,106.619,China,CN,3669400
45,Wuhu,31.3526,118.4331,China,CN,3644420
46,Yulinshi,38.2858,109.7341,China,CN,3634750
47,Medan,3.5894,98.6739,Indonesia,ID,3632000
48,Wenzhou,27.9938,120.6993,China,CN,3604446
49,Changzhou,31.811,119.974,China,CN,3601079
50,Puyang,35.7627,115.0292,China,CN,3598740
51,Jiaozuo,35.2157,113.2419,China,CN,3590700
52,Nanchang,28.683,115.858,China,CN,3576547
53,Seattle,47.6211,-122.3244,United States,US,3561397
54,Ibadan,7.3964,3.9167,Nigeria,NG,3552000
55,Casablanca,33.5333,-7.5833,Morocco,MA,3499000
56,Kumasi,6.7,-1.625,Ghana,GH,3490030
57,Deyang,31.127,104.398,China,CN,3456161
58,Busan,35.18,129.075,"Korea, South",KR,3453198
59,Hohhot,40.842,111.749,China,CN,3446100
60,Hechi,24.693,108.085,China,CN,3417945
61,Algiers,36.7539,3.0589,Algeria,DZ,3415811
62,Tangshan,39.6294,118.1739,China,CN,3399231
63,Shiyan,32.629,110.7987,China,CN,3398000
64,Lucknow,26.85,80.95,India,IN,3382000
65,Mashhad,36.3264,59.5433,Iran,IR,3372090
66,San Francisco,37.7558,-122.4449,United States,US,3364979
67,Boankra,6.6944,-1.4028,Ghana,GH,3348000
68,Dubai,25.2631,55.2972,United Arab Emirates,AE,3331420
69,Anshan,41.108,122.994,China,CN,3325372
70,Baojishi,34.363,107.238,China,CN,3321853
71,Qinzhou,21.981,108.654,China,CN,3304400
72,Guiyang,26.647,106.63,China,CN,3299724
73,Bengbu,32.917,117.389,China,CN,3296408
74,Bazhou,31.868,106.748,China,CN,3283148
75,Suining,30.533,105.593,China,CN,3252619
76,Wuxi,31.491,120.312,China,CN,3245179
77,Kotla Qasim Khan,32.5833,73.75,Pakistan,PK,3219375
78,Hanzhong,33.0664,107.0232,China,CN,3211462
79,Putian,25.4526,119.0078,China,CN,3210714
80,Zhenjiang,32.188,119.424,China,CN,3210418
