ID,city name,lat,lng,country,iso2,population
1,Guang'an,30.4564,106.6326,China,CN,3205476
2,Faisalabad,31.4167,73.0911,Pakistan,PK,3203846
3,Changzhi,36.195,113.117,China,CN,3180884
4,Tongren,27.7316,109.1895,China,CN,3168800
5,Leshan,29.552,103.766,China,CN,3160168
6,Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,BO,3151676
7,Qinhuangdao,39.8882,119.5202,China,CN,3146300
8,Jaipur,26.9,75.8,India,IN,3073350
9,Xinzhou,38.416,112.734,China,CN,3067501
10,Lanzhou,36.0606,103.8268,China,CN,3067141
11,Wuzhou,23.4767,111.279,China,CN,3061100
12,Athens,37.9842,23.7281,Greece,GR,3059764
13,San Diego,32.8313,-117.1222,United States,US,3046560
14,Addis Ababa,9.03,38.74,Ethiopia,ET,3041002
15,Taichung,24.1439,120.6794,Taiwan,TW,3033885
16,Huainan,32.6314,117.0194,China,CN,3033528
17,Guatemala City,14.6133,-90.5353,Guatemala,GT,3014000
18,Kuwait City,29.3697,47.9783,Kuwait,KW,3000000
19,Budapest,47.4925,19.0514,Hungary,HU,2997958
20,Qincheng,34.5809,105.7311,China,CN,2984659
21,Rizhao,35.417,119.527,China,CN,2968365
22,Quezon City,14.65,121.0475,Philippines,PH,2960048
23,Sanaa,15.3483,44.2064,Yemen,YE,2957000
24,Tashkent,41.3111,69.2797,Uzbekistan,UZ,2956384
25,Kyiv,50.45,30.5233,Ukraine,UA,2952301
26,Meishan,30.0771,103.8484,China,CN,2950545
27,Incheon,37.4833,126.6333,"Korea, South",KR,2936117
28,Birmingham,52.48,-1.9025,United Kingdom,GB,2919600
29,Ningde,26.6662,119.5477,China,CN,2910000
30,Zhongshan,22.517,113.3925,China,CN,2909633
31,Weihai,37.5133,122.1205,China,CN,2906548
32,Bursa,40.1833,29.05,Turkey,TR,2901396
33,Minneapolis,44.9635,-93.2678,United States,US,2892569
34,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),CD,2892000
35,Haikou,20.0186,110.3488,China,CN,2873358
36,Tongliao,43.654,122.243,China,CN,2873168
37,Chaoyang,41.571,120.453,China,CN,2872857
38,La Paz,-16.4958,-68.1333,Bolivia,BO,2867504
39,Pyongyang,39.0167,125.7475,"Korea, North",KP,2863000
40,Tampa,27.9945,-82.4447,United States,US,2861173
41,Shaoguan,24.811,113.597,China,CN,2855131
42,Heyuan,23.7443,114.7002,China,CN,2837686
43,Brasilia,-15.7939,-47.8828,Brazil,BR,2817068
44,Omdurman,15.65,32.4833,Sudan,SD,2805396
45,Malang,-7.98,112.62,Indonesia,ID,2795209
46,Stuttgart,48.7775,9.18,Germany,DE,2787724
47,Daqing,46.589,125.104,China,CN,2781562
48,Rome,41.8933,12.4828,Italy,IT,2748109
49,Brooklyn,40.6501,-73.9496,United States,US,2736074
50,Kaohsiung,22.615,120.2975,Taiwan,TW,2733964
51,Xiangtan,27.8313,112.9454,China,CN,2726181
52,Longyan,25.076,117.017,China,CN,2723637
53,Baotou,40.6213,109.9532,China,CN,2709378
54,Handan,36.601,114.487,China,CN,2708015
55,Jinzhou,41.129,121.148,China,CN,2703853
56,Kanpur,26.4499,80.3319,India,IN,2701324
57,Denver,39.762,-104.8758,United States,US,2687458
58,Nanping,26.6418,118.1774,China,CN,2680645
59,Gazipura,23.9889,90.375,Bangladesh,BD,2674697
60,Shanwei,22.7872,115.3756,China,CN,2672819
61,Chaozhou,23.658,116.622,China,CN,2656600
62,Guayaquil,-2.19,-79.8875,Ecuador,EC,2650288
63,Weifang,36.708,119.162,China,CN,2636154
64,Huai'an,33.551,119.113,China,CN,2632788
65,Zibo,36.8138,118.055,China,CN,2631647
66,Ankang,32.6854,109.029,China,CN,2629906
67,Mogadishu,2.0392,45.3419,Somalia,SO,2610483
68,Munich,48.1375,11.575,Germany,DE,2606021
69,Gulou,26.0865,119.298,China,CN,2606000
70,Taipei,25.0375,121.5625,Taiwan,TW,2603150
71,Bekasi,-6.2349,106.9923,Indonesia,ID,2590257
72,Damascus,33.5131,36.2919,Syria,SY,2584771
73,Sanming,26.2634,117.6389,China,CN,2580000
74,Yangjiang,21.857,111.983,China,CN,2555600
75,Jiamusi,46.8,130.319,China,CN,2552097
76,Luohe,33.583,114.0109,China,CN,2544266
77,Medellin,6.2308,-75.5906,Colombia,CO,2529403
78,Dingxi,35.608,104.592,China,CN,2524097
79,Shaoxing,30.0511,120.5833,China,CN,2521964
80,Yantai,37.4646,121.4478,China,CN,2511053
