ID,city name,lat,lng,country,iso2,population
1,Kusong,39.9667,125.1667,"Korea, North",KP,196515
2,Brescia,45.5417,10.2167,Italy,IT,196446
3,Zipaquira,5.0333,-74,Colombia,CO,196409
4,Khammam,17.2473,80.1514,India,IN,196283
5,Kouribga,32.8833,-6.9167,Morocco,MA,196196
6,McKinney,33.2016,-96.667,United States,US,196160
7,Madhyamgram,22.7,88.45,India,IN,196127
8,Sinop,-11.8481,-55.6492,Brazil,BR,196067
9,Kajo Kaji,3.8492,31.6578,South Sudan,SS,196000
10,Viransehir,37.2306,39.7653,Turkey,TR,195910
11,Ghandinagar,23.2231,72.65,India,IN,195891
12,Rzeszow,50.0333,22,Poland,PL,195871
13,Prato,43.88,11.0983,Italy,IT,195736
14,Waco,31.5599,-97.1882,United States,US,195709
15,Acarigua,9.5597,-69.2019,Venezuela,VE,195637
16,Myawadi,16.6878,98.5083,Burma,MM,195624
17,Mwene-Ditu,-7,23.45,Congo (Kinshasa),CD,195622
18,Karakopru,37.1847,38.7908,Turkey,TR,195552
19,Parachinar,33.9,70.1,Pakistan,PK,195502
20,Koronadal,6.5,124.85,Philippines,PH,195398
21,La Serena,-29.9,-71.25,Chile,CL,195382
22,Maharagama,6.8494,79.9236,Sri Lanka,LK,195355
23,San Pedro de Macoris,18.45,-69.3,Dominican Republic,DO,195307
24,Liege,50.6397,5.5706,Belgium,BE,195278
25,Hagerstown,39.6401,-77.7217,United States,US,195261
26,Suzuka,34.882,136.5842,Japan,JP,195250
27,Baharampur,24.1,88.25,India,IN,195223
28,Tchitato,-7.3667,20.8333,Angola,AO,195136
29,Malema,-14.9486,37.4144,Mozambique,MZ,195077
30,N'Zerekore,7.75,-8.8167,Guinea,GN,195027
31,Mbarara,-0.6133,30.6583,Uganda,UG,195013
32,Morbi,22.82,70.83,India,IN,194947
33,Yuzhno-Sakhalinsk,46.9667,142.7333,Russia,RU,194882
34,Cuautla,18.8167,-98.95,Mexico,MX,194786
35,Anseong,37.0078,127.2797,"Korea, South",KR,194765
36,Glendale,34.1819,-118.2468,United States,US,194512
37,Guanajuato,21.0178,-101.2567,Mexico,MX,194500
38,Tebessa,35.4,8.1167,Algeria,DZ,194461
39,Kamirenjaku,35.6836,139.5595,Japan,JP,194460
40,Holon,32.0167,34.7667,Israel,IL,194300
41,San Fernando,7.894,-67.473,Venezuela,VE,194274
42,Pingtung,22.6761,120.4942,Taiwan,TW,194123
43,Peterborough,52.5661,-0.2364,United Kingdom,GB,194000
44,Tanauan,14.08,121.15,Philippines,PH,193936
45,Nampa,43.5844,-116.5638,United States,US,193935
46,Suhaj,26.55,31.7,Egypt,EG,193931
47,Pandhurna,21.6,78.52,India,IN,193818
48,Bene Beraq,32.0833,34.8333,Israel,IL,193774
49,Sosnowiec,50.2833,19.1333,Poland,PL,193660
50,Bukan,36.515,46.2075,Iran,IR,193501
51,Mus,38.7333,41.4911,Turkey,TR,193394
52,Fatehpur,25.93,80.8,India,IN,193193
53,Kumagaya,36.1474,139.3886,Japan,JP,193190
54,La Plata,-34.9211,-57.9544,Argentina,AR,193144
55,Bani Suwayf,29.0667,31.0833,Egypt,EG,193048
56,Lae,-6.7303,147.0008,Papua New Guinea,PG,193000
57,Quelimane,-17.8764,36.8872,Mozambique,MZ,192876
58,Hyesan,41.4,128.1833,"Korea, North",KP,192680
59,Beni Mellal,32.3394,-6.3608,Morocco,MA,192676
60,Jalapa,14.6333,-89.9833,Guatemala,GT,192676
61,Guanare,9.0436,-69.7489,Venezuela,VE,192644
62,Kaesong,37.9667,126.55,"Korea, North",KP,192578
63,Nossa Senhora do Socorro,-10.855,-37.0592,Brazil,BR,192330
64,Castanhal,-1.2969,-47.9219,Brazil,BR,192262
65,Croydon,51.3727,-0.1099,United Kingdom,GB,192064
66,Arba Minch',6.0333,37.55,Ethiopia,ET,192043
67,Rio Grande,-32.035,-52.0986,Brazil,BR,191900
68,Gorontalo,0.5333,123.0667,Indonesia,ID,191897
69,Florencia,1.6139,-75.6128,Colombia,CO,191867
70,Fianarantsoa,-21.4536,47.0858,Madagascar,MG,191776
71,Tsing Yi Town,22.3456,114.1,Hong Kong,HK,191500
72,Yamaguchi,34.1781,131.4739,Japan,JP,191470
73,Iwo,7.6333,4.1833,Nigeria,NG,191377
74,Rae Bareli,26.2236,81.2403,India,IN,191316
75,Godoy Cruz,-32.9167,-68.8333,Argentina,AR,191299
76,Peoria,33.7843,-112.2989,United States,US,191292
77,Ciudad del Carmen,18.6333,-91.8333,Mexico,MX,191238
78,Bago,10.5388,122.8384,Philippines,PH,191210
79,Daman,20.42,72.85,India,IN,191173
80,Valera,9.3206,-70.6078,Venezuela,VE,191167
