ID,city name,lat,lng,country,iso2,population
1,Xiangxiang,27.7186,112.5502,China,CN,787216
2,Birmingham,33.5279,-86.7971,United States,US,782111
3,Chaohucun,31.6244,117.8902,China,CN,782000
4,Bucheon,37.5,126.7833,"Korea, South",KR,781119
5,Lubango,-14.9167,13.5,Angola,AO,776249
6,Homs,34.7308,36.7094,Syria,SY,775404
7,Bilbao,43.2569,-2.9236,Spain,ES,775000
8,Zouping,36.863,117.743,China,CN,774517
9,Frankfurt,50.1106,8.6822,Germany,DE,773068
10,San Luis Potosi,22.1511,-100.9761,Mexico,MX,772828
11,Dali,25.6065,100.2676,China,CN,771128
12,Fuyang,30.0553,119.95,China,CN,771000
13,Khujand,40.2833,69.6333,Tajikistan,TJ,770000
14,Korla,41.7259,86.1746,China,CN,770000
15,Albuquerque,35.1054,-106.6465,United States,US,769986
16,Hamhung,39.9167,127.5333,"Korea, North",KP,768551
17,Erzurum,39.9086,41.2769,Turkey,TR,767848
18,Zagreb,45.8131,15.9775,Croatia,HR,767131
19,Al `Ayn,24.2075,55.7447,United Arab Emirates,AE,766936
20,Songzi,30.174,111.757,China,CN,765911
21,Patiala,30.34,76.38,India,IN,763280
22,Laixi,36.8667,120.5333,China,CN,762900
23,Zhongba,31.771,104.755,China,CN,762140
24,Bahawalpur,29.3956,71.6836,Pakistan,PK,762111
25,Qingnian,36.8494,115.7061,China,CN,760781
26,Kaduna,10.5167,7.4333,Nigeria,NG,760084
27,Winnipeg,49.8844,-97.1464,Canada,CA,758515
28,Trabzon,41.005,39.7225,Turkey,TR,758237
29,Guangshui,31.617,113.826,China,CN,755910
30,Baardheere,2.3333,42.2833,Somalia,SO,755500
31,Shishgarh,28.72,79.32,India,IN,753815
32,Nerima,35.7356,139.6517,Japan,JP,752608
33,Sizhan,38.9846,106.3828,China,CN,751389
34,Ciudad Guayana,8.3667,-62.65,Venezuela,VE,751331
35,Natal,-5.7833,-35.2,Brazil,BR,751300
36,Lichuan,30.291,108.9364,China,CN,750670
37,Licheng,31.4306,119.4788,China,CN,749522
38,Santo Andre,-23.6572,-46.5333,Brazil,BR,748919
39,Ota-ku,35.5614,139.7161,Japan,JP,748081
40,Gaalkacyo,6.7697,47.4308,Somalia,SO,745000
41,Thiruvananthapuram,8.5241,76.9366,India,IN,743691
42,Osasco,-23.5328,-46.7919,Brazil,BR,743432
43,Nampula,-15.1167,39.2667,Mozambique,MZ,743000
44,Pretoria,-25.7461,28.1881,South Africa,ZA,741651
45,Kyaukse,21.6131,96.1303,Burma,MM,741071
46,Chengguan,35.4623,113.8054,China,CN,740435
47,Nehe,48.4833,124.8833,China,CN,740000
48,Cabinda,-5.56,12.19,Angola,AO,739182
49,Kumamoto,32.8031,130.7078,Japan,JP,738385
50,Kerman,30.2911,57.0678,Iran,IR,738374
51,Zunhua,40.189,117.966,China,CN,737011
52,Orumiyeh,37.5439,45.0647,Iran,IR,736224
53,Wugang,26.7266,110.6319,China,CN,734870
54,Bagcilar,41.0344,28.8564,Turkey,TR,734369
55,Quebec City,46.8139,-71.2081,Canada,CA,733156
56,Shuangqiao,35.067,112.602,China,CN,733000
57,Umraniye,41.0311,29.1081,Turkey,TR,732379
58,Yanggok,37.6333,127.2167,"Korea, South",KR,732376
59,Tshikapa,-6.4167,20.8,Congo (Kinshasa),CD,732000
60,Tulsa,36.1283,-95.9042,United States,US,731743
61,Osogbo,7.7667,4.5667,Nigeria,NG,731000
62,Comodoro Rivadavia,-45.8647,-67.4808,Argentina,AR,730266
63,Nottingham,52.9561,-1.1512,United Kingdom,GB,729977
64,Hamilton,43.2567,-79.8692,Canada,CA,729560
65,Langzhong,31.558,106.005,China,CN,728935
66,Cagayan de Oro,8.48,124.65,Philippines,PH,728402
67,Qian'an,39.999,118.701,China,CN,728160
68,Fresno,36.783,-119.7939,United States,US,725276
69,An Najaf,32,44.33,Iraq,IQ,724700
70,Cencheng,22.9167,111,China,CN,724364
71,Sorocaba,-23.5017,-47.4581,Brazil,BR,723574
72,Guli,28.9,120.0333,China,CN,723490
73,Sagamihara,35.5667,139.3667,Japan,JP,722973
74,Pishbar,33.3886,59.9789,Iran,IR,720207
75,Okayama,34.65,133.9167,Japan,JP,720043
76,Anlu,31.2667,113.6667,China,CN,720000
77,Concepcion,-36.8282,-73.0514,Chile,CL,719944
78,Mississauga,43.6,-79.65,Canada,CA,717961
79,Changsha,22.3773,112.6982,China,CN,717700
80,Songyang,34.4553,113.0253,China,CN,717400
