ID,city name,lat,lng,country,iso2,population
1,Ottawa,45.4247,-75.695,Canada,CA,1068821
2,Zhongwei,37.5002,105.1968,China,CN,1067336
3,Oslo,59.9133,10.7389,Norway,NO,1064235
4,Goyang,37.65,126.8,"Korea, South",KR,1061929
5,Sendai,38.2682,140.8694,Japan,JP,1061177
6,Mizhou,35.99,119.3801,China,CN,1060000
7,Xishan,27.6461,113.497,China,CN,1060000
8,Barquisimeto,10.0636,-69.3347,Venezuela,VE,1059092
9,Hegang,47.3501,130.298,China,CN,1058665
10,Chandigarh,30.75,76.78,India,IN,1055450
11,Voronezh,51.6717,39.2106,Russia,RU,1051995
12,Managua,12.1364,-86.2514,Nicaragua,NI,1051236
13,Haldwani,29.22,79.52,India,IN,1050000
14,Vijayawada,16.5193,80.6305,India,IN,1048240
15,Perm,58,56.3167,Russia,RU,1048005
16,Fangchenggang,21.6867,108.3547,China,CN,1046068
17,Jiancheng,30.3931,104.5465,China,CN,1045900
18,Cazenga,-8.8214,13.2911,Angola,AO,1045722
19,Kisangani,0.5167,25.2,Congo (Kinshasa),CD,1040000
20,Shouguang,36.857,118.791,China,CN,1039205
21,Memphis,35.1087,-89.9663,United States,US,1037998
22,Sao Luis,-2.5283,-44.3044,Brazil,BR,1037775
23,Jodhpur,26.28,73.02,India,IN,1033918
24,Matola,-25.9667,32.4667,Mozambique,MZ,1032197
25,Ogbomoso,8.1333,4.25,Nigeria,NG,1032000
26,Sanya,18.2533,109.5036,China,CN,1031396
27,Rangapukur,25.56,89.25,Bangladesh,BD,1031388
28,Ashgabat,37.9375,58.38,Turkmenistan,TM,1030063
29,Wutong,30.6333,120.5333,China,CN,1029754
30,Linhai,28.85,121.1167,China,CN,1028813
31,Denizli,37.7833,29.0964,Turkey,TR,1027782
32,Niamey,13.515,2.1175,Niger,NE,1026848
33,Shubra al Khaymah,30.1286,31.2422,Egypt,EG,1025569
34,Wafangdian,39.6271,121.9796,China,CN,1024876
35,Zhongxiang,31.169,112.5853,China,CN,1022514
36,Monrovia,6.3133,-10.8014,Liberia,LR,1021762
37,San Cristobal,7.7667,-72.2333,Venezuela,VE,1015623
38,Islamabad,33.6931,73.0639,Pakistan,PK,1014825
39,Xinyi,22.3549,110.9468,China,CN,1013900
40,Thu Duc,10.8266,106.7609,Vietnam,VN,1013795
41,Morelia,19.7683,-101.1894,Mexico,MX,1011704
42,Odesa,46.4775,30.7326,Ukraine,UA,1010537
43,Raipur,21.2444,81.6306,India,IN,1010087
44,Changwon,35.2708,128.6631,"Korea, South",KR,1009998
45,Arequipa,-16.4,-71.5333,Peru,PE,1008290
46,Volgograd,48.7086,44.5147,Russia,RU,1004763
47,Zaoyang,32.129,112.772,China,CN,1004741
48,Xingyi,25.092,104.8955,China,CN,1004132
49,Shuizhai,33.4433,114.8994,China,CN,1003698
50,Kota,25.18,75.83,India,IN,1001694
51,Quetta,30.1833,67,Pakistan,PK,1001205
52,Quang Ha,15.9333,108.2667,Vietnam,VN,1000000
53,Domaa-Ahenkro,7.2833,-2.8833,Ghana,GH,1000000
54,Bareilly,28.364,79.415,India,IN,1000000
55,Oklahoma City,35.4676,-97.5136,United States,US,998806
56,Bordeaux,44.84,-0.58,France,FR,994920
57,Xingcheng,24.1347,115.73,China,CN,993000
58,Taixing,32.159,120.029,China,CN,990200
59,Xinhualu,34.3964,113.7402,China,CN,989900
60,Lilongwe,-13.9833,33.7833,Malawi,MW,989318
61,Port-au-Prince,18.5333,-72.3333,Haiti,HT,987310
62,Yingcheng,24.21,113.401,China,CN,986400
63,Al Mijlad,11.0339,27.74,Sudan,SD,985000
64,Luocheng,22.7689,111.5697,China,CN,984100
65,Pekanbaru,0.5092,101.4453,Indonesia,ID,983356
66,Natal,-6.9838,-60.2699,Brazil,BR,980588
67,Chiba,35.6073,140.1064,Japan,JP,975014
68,Kirkuk,35.4667,44.3167,Iraq,IQ,975000
69,Hartford,41.7661,-72.6834,United States,US,974684
70,Huilong,31.87,121.703,China,CN,972525
71,Wuchuan,21.441,110.779,China,CN,972400
72,Dnipro,48.4675,35.04,Ukraine,UA,968502
73,Narayanganj,23.62,90.5,Bangladesh,BD,967951
74,Gqeberha,-33.9581,25.6,South Africa,ZA,967677
75,Malaga,36.7194,-4.42,Spain,ES,967250
76,Marrakech,31.63,-8.0089,Morocco,MA,966987
77,Cebu City,10.32,123.75,Philippines,PH,964169
78,Louisville,38.1663,-85.6485,United States,US,963812
79,Asmara,15.3228,38.925,Eritrea,ER,963000
80,Coimbatore,11.0167,76.9556,India,IN,959823
