ID,city name,lat,lng,country,iso2,population
1,Okara,30.8092,73.4536,Pakistan,PK,232386
2,Saga,33.2667,130.3,Japan,JP,232359
3,Saidpur,25.8004,89,Bangladesh,BD,232209
4,Lin'an,23.6279,102.8014,China,CN,232160
5,Colombo,-25.2919,-49.2239,Brazil,BR,232056
6,Machilipatnam,16.17,81.13,India,IN,232000
7,Beni,0.5,29.4667,Congo (Kinshasa),CD,231952
8,Nazipur,25.0415,88.7605,Bangladesh,BD,231900
9,Purwokerto,-7.4278,109.2417,Indonesia,ID,231765
10,Bratsk,56.1167,101.6,Russia,RU,231602
11,Biyala,31.1747,31.2204,Egypt,EG,231569
12,Madan,30.3469,48.2825,Iran,IR,231476
13,Rancagua,-34.1667,-70.75,Chile,CL,231370
14,Phu Yen,21.4156,105.8739,Vietnam,VN,231363
15,Neuquen,-38.9525,-68.0642,Argentina,AR,231198
16,Divinopolis,-20.1389,-44.8839,Brazil,BR,231091
17,Qarchak,35.4267,51.5842,Iran,IR,231075
18,Ormoc,11.0106,124.6075,Philippines,PH,230998
19,Fresnillo,23.175,-102.8675,Mexico,MX,230865
20,Dzerzhinsk,56.2333,43.45,Russia,RU,230639
21,Granada,37.1781,-3.6008,Spain,ES,230595
22,Son Tay,21.1333,105.5,Vietnam,VN,230577
23,Singkawang,0.9,108.9833,Indonesia,ID,230376
24,Zegoua,10.4875,-5.6536,Mali,ML,230360
25,Kulai,1.6667,103.6,Malaysia,MY,230000
26,Barishal,22.7,90.3667,Bangladesh,BD,230000
27,Pali,25.77,73.33,India,IN,229956
28,Songadh,21.167,73.564,India,IN,229782
29,Noginsk,64.4833,91.2333,Russia,RU,229731
30,Gadda Madiral,18.7519,79.5133,India,IN,229644
31,Orsk,51.2,58.5667,Russia,RU,229255
32,Ordu,40.9833,37.8833,Turkey,TR,229214
33,Kosice,48.7167,21.25,Slovakia,SK,229040
34,Kasukabe,35.9753,139.7523,Japan,JP,228975
35,Mirialguda,16.8667,79.5833,India,IN,228891
36,Aguadilla,18.4382,-67.1537,Puerto Rico,PR,228854
37,Envigado,6.1667,-75.5667,Colombia,CO,228848
38,Haridwar,29.945,78.163,India,IN,228832
39,Rock Hill,34.9415,-81.0241,United States,US,228811
40,Fremont,37.5265,-121.9843,United States,US,228795
41,Vizianagaram,18.1159,83.406,India,IN,228720
42,Coban,15.4833,-90.3667,Guatemala,GT,228664
43,Khenifra,32.9394,-5.6675,Morocco,MA,228567
44,Guantanamo,20.1367,-75.2139,Cuba,CU,228436
45,Krefeld,51.3333,6.5667,Germany,DE,228426
46,Sabya,17.1489,42.6258,Saudi Arabia,SA,228375
47,Fargo,46.8651,-96.8292,United States,US,228364
48,Raisinghnagar,29.5342,73.4477,India,IN,228330
49,Usak,38.6778,29.4042,Turkey,TR,228328
50,Pathardi,19.17,75.18,India,IN,228279
51,Mage,-22.6528,-43.0408,Brazil,BR,228127
52,Gulfport,30.4274,-89.0704,United States,US,228022
53,Neya,34.7667,135.6333,Japan,JP,227997
54,Mel Palaiyam,8.7,77.7069,India,IN,227895
55,Novo Hamburgo,-29.6778,-51.1308,Brazil,BR,227732
56,Ipatinga,-19.5,-42.5333,Brazil,BR,227731
57,Saqultah,26.65,31.6667,Egypt,EG,227719
58,Choloma,15.6333,-88,Honduras,HN,227535
59,Kropyvnytskyi,48.5,32.2667,Ukraine,UA,227413
60,Khatima,28.92,79.97,India,IN,227226
61,Dasoguz,41.8333,59.9667,Turkmenistan,TM,227184
62,Khanewal,30.3,71.9333,Pakistan,PK,227059
63,Petlad,22.47,72.8,India,IN,227031
64,Kamianske,48.5167,34.6167,Ukraine,UA,226845
65,Bremerton,47.5436,-122.7121,United States,US,226805
66,Ageoshimo,35.9774,139.5932,Japan,JP,226616
67,Changhua,24.0667,120.5333,Taiwan,TW,226518
68,Regina,50.4547,-104.6067,Canada,CA,226404
69,Badalona,41.4489,2.2461,Spain,ES,225957
70,Dianbu,31.8883,117.4608,China,CN,225808
71,Kolpino,59.7333,30.6,Russia,RU,225801
72,Rio Verde,-17.745,-50.9167,Brazil,BR,225696
73,Meycauayan,14.73,120.95,Philippines,PH,225673
74,Presidente Prudente,-22.1256,-51.3889,Brazil,BR,225668
75,Green Bay,44.5148,-87.9895,United States,US,225633
76,Varamin,35.3508,51.6358,Iran,IR,225628
77,Padangsidempuan,1.3786,99.2722,Indonesia,ID,225544
78,Uacu Cungo,-11.3583,15.1194,Angola,AO,225520
79,Enterprise,36.0091,-115.2278,United States,US,225461
80,Hunchun,42.863,130.366,China,CN,225454
