ID,city name,lat,lng,country,iso2,population
1,Marituba,-10.2833,-36.4,Brazil,BR,133685
2,Amiens,49.892,2.299,France,FR,133625
3,Yunxian Chengguanzhen,32.8082,110.8136,China,CN,133558
4,Ferfer,5.0833,45.0833,Ethiopia,ET,133521
5,Renca,-33.4,-70.7167,Chile,CL,133518
6,Segou,13.45,-6.2667,Mali,ML,133501
7,Jau,-22.2958,-48.5578,Brazil,BR,133497
8,Tando Allahyar,25.4617,68.7167,Pakistan,PK,133487
9,Thandwe,18.4667,94.3667,Burma,MM,133484
10,Hagonoy,14.83,120.73,Philippines,PH,133448
11,Hassan,13.012,76.068,India,IN,133436
12,Batu Gajah,4.4667,101.05,Malaysia,MY,133422
13,Matagalpa,12.9167,-85.9167,Nicaragua,NI,133416
14,Lalitpur,24.69,78.41,India,IN,133305
15,Conchali,-33.3833,-70.675,Chile,CL,133256
16,Santa Cruz do Sul,-29.7178,-52.4258,Brazil,BR,133230
17,Long Binh,10.9458,106.8775,Vietnam,VN,133206
18,Pitalito,1.8989,-76.0419,Colombia,CO,133205
19,Bibemi,9.3167,13.8833,Cameroon,CM,133191
20,Naga,10.22,123.75,Philippines,PH,133184
21,Porto-Novo,6.4972,2.605,Benin,BJ,133168
22,Uppsala,59.8601,17.64,Sweden,SE,133117
23,Yuba City,39.1357,-121.6383,United States,US,133106
24,Khorramshahr,30.4394,48.1817,Iran,IR,133097
25,Tarime,-1.35,34.3833,Tanzania,TZ,133043
26,Crato,-7.2339,-39.4089,Brazil,BR,133031
27,Male,4.1753,73.5089,Maldives,MV,133019
28,Parla,40.2372,-3.7742,Spain,ES,133004
29,Milton,43.5083,-79.8833,Canada,CA,132979
30,M'Sila,35.7019,4.5472,Algeria,DZ,132975
31,Sripur,24.2011,90.4843,Bangladesh,BD,132948
32,Kipushi,-11.7625,27.25,Congo (Kinshasa),CD,132861
33,Gondia,21.4598,80.195,India,IN,132821
34,Zhangmu Touwei,22.9149,114.0833,China,CN,132816
35,Schaarbeek,50.8675,4.3736,Belgium,BE,132799
36,Luxembourg,49.6117,6.1319,Luxembourg,LU,132780
37,Rehovot,31.8969,34.8167,Israel,IL,132671
38,San Carlos,10.4929,123.4095,Philippines,PH,132650
39,Sao Mateus,-18.7158,-39.8589,Brazil,BR,132642
40,Dalupura,28.6004,77.3194,India,IN,132628
41,Mogaung,25.3014,96.9417,Burma,MM,132608
42,Odemis,38.2311,27.9719,Turkey,TR,132511
43,Kingston,44.3128,-76.4553,Canada,CA,132485
44,San Luis,16.2,-89.44,Guatemala,GT,132470
45,Centro Habana,23.1333,-82.3833,Cuba,CU,132451
46,Zagnanado,7.2667,2.35,Benin,BJ,132401
47,Isahaya,32.85,130.0667,Japan,JP,132385
48,Yakima,46.5923,-120.5496,United States,US,132354
49,Adonara,-8.25,123.15,Indonesia,ID,132345
50,Talavera,15.5839,120.9189,Philippines,PH,132338
51,Rustavi,41.5436,45.0117,Georgia,GE,132333
52,Carrollton,32.989,-96.8999,United States,US,132284
53,San Juan,18.81,-71.23,Dominican Republic,DO,132177
54,Aware,8.2667,44.15,Ethiopia,ET,132149
55,Naryai ka Puri,26.52,78.35,India,IN,132072
56,Blitar,-8.1,112.15,Indonesia,ID,132018
57,Racine,42.7274,-87.8135,United States,US,132006
58,Karabuk,41.1986,32.6264,Turkey,TR,131989
59,Palwal,28.1447,77.3255,India,IN,131926
60,Ome,35.788,139.2758,Japan,JP,131895
61,Chicomba,-14.1333,14.9167,Angola,AO,131807
62,Johnson City,36.3406,-82.3806,United States,US,131718
63,Annecy,45.916,6.133,France,FR,131715
64,Papeete,-17.5334,-149.5667,French Polynesia,PF,131695
65,Cubatao,-23.8953,-46.4256,Brazil,BR,131626
66,Conselheiro Lafaiete,-20.66,-43.7858,Brazil,BR,131621
67,Ji-Parana,-10.8853,-61.9517,Brazil,BR,131560
68,Al Khmissat,33.8167,-6.0667,Morocco,MA,131542
69,Billings,45.7891,-108.5526,United States,US,131519
70,Jijel,36.8167,5.75,Algeria,DZ,131513
71,Furth,49.4667,11,Germany,DE,131433
72,Buea,4.1667,9.2333,Cameroon,CM,131325
73,Apopa,13.8,-89.1833,El Salvador,SV,131286
74,Itapipoca,-3.4939,-39.5789,Brazil,BR,131123
75,Spanish Town,17.9959,-76.9551,Jamaica,JM,131056
76,Lam Tin,22.3094,114.2361,Hong Kong,HK,131000
77,Palghat,10.775,76.651,India,IN,130955
78,Atyrau,47.1167,51.8833,Kazakhstan,KZ,130916
79,Araras,-22.3572,-47.3844,Brazil,BR,130866
80,Maijdi,22.8333,91.1,Bangladesh,BD,130842
