ID,city name,lat,lng,country,iso2,population
1,Huizhou,23.112,114.416,China,CN,2509243
2,Lishui,28.468,119.923,China,CN,2507396
3,Xuanzhou,30.939,118.759,China,CN,2500063
4,Khowrhesht,36.205,49.6872,Iran,IR,2500000
5,Mirzapur,25.146,82.569,India,IN,2496970
6,Zigong,29.339,104.779,China,CN,2489256
7,Hamburg,53.55,10,Germany,DE,2484800
8,Guangyuan,32.436,105.844,China,CN,2484122
9,Cali,3.4206,-76.5222,Colombia,CO,2471474
10,Huangshi,30.2011,115.039,China,CN,2469079
11,Xining,36.6224,101.7804,China,CN,2467965
12,Lusaka,-15.4167,28.2833,Zambia,ZM,2467563
13,Ouagadougou,12.3686,-1.5275,Burkina Faso,BF,2453496
14,Yaounde,3.8667,11.5167,Cameroon,CM,2440462
15,Zhuhai,22.2716,113.5769,China,CN,2439585
16,Huludao,40.711,120.837,China,CN,2434194
17,Baoshan,25.112,99.161,China,CN,2431211
18,Mecca,21.4225,39.8233,Saudi Arabia,SA,2427924
19,Vancouver,49.25,-123.1,Canada,CA,2426160
20,Lianshan,40.7523,120.828,China,CN,2426000
21,Beirut,33.8983,35.5057,Lebanon,LB,2421354
22,Salvador,-12.9747,-38.4767,Brazil,BR,2418005
23,Bucharest,44.4325,26.1039,Romania,RO,2412530
24,Longba,33.3702,104.9603,China,CN,2407272
25,Nagpur,21.1497,79.0806,India,IN,2405665
26,Queens,40.7498,-73.7976,United States,US,2405464
27,Jilin,43.8519,126.5481,China,CN,2396000
28,Tieling,42.2237,123.726,China,CN,2388294
29,Accra,5.55,-0.2,Ghana,GH,2388000
30,Yunfu,22.9152,112.0445,China,CN,2383350
31,Bekasi Kota,-6.2333,107,Indonesia,ID,2381053
32,Daegu,35.8717,128.6017,"Korea, South",KR,2376044
33,Ghaziabad,28.67,77.42,India,IN,2375820
34,Luoyang,34.6197,112.4539,China,CN,2372571
35,Brisbane,-27.4678,153.0281,Australia,AU,2360241
36,Anshun,26.2531,105.9476,China,CN,2353100
37,Riverside,33.9381,-117.3949,United States,US,2332836
38,Yingkou,40.625,122.219,China,CN,2328582
39,Colombo,6.9344,79.8428,Sri Lanka,LK,2323826
40,Yanjiang,30.129,104.627,China,CN,2308631
41,Baku,40.3953,49.8822,Azerbaijan,AZ,2300500
42,Antananarivo,-18.91,47.525,Madagascar,MG,2300000
43,Mudanjiang,44.5514,129.6329,China,CN,2290208
44,Fukuoka,33.59,130.4017,Japan,JP,2286000
45,Yan'an,36.65,109.494,China,CN,2282581
46,Jincheng,35.491,112.852,China,CN,2279146
47,Nantong,31.981,120.894,China,CN,2261382
48,Lincang,23.884,100.089,China,CN,2257991
49,Yuxi,24.347,102.527,China,CN,2249502
50,Las Vegas,36.2333,-115.2654,United States,US,2248047
51,Caracas,10.4806,-66.9036,Venezuela,VE,2245744
52,Tangerang,-6.1703,106.6403,Indonesia,ID,2237006
53,Laibin,23.7501,109.2212,China,CN,2233900
54,Konya,37.8667,32.4833,Turkey,TR,2232374
55,Supaul,26.126,86.605,India,IN,2229076
56,Vienna,48.2083,16.3725,Austria,AT,2223236
57,Esfahan,32.6447,51.6675,Iran,IR,2219343
58,Baltimore,39.3051,-76.6144,United States,US,2196524
59,Shengli,37.434,118.6746,China,CN,2193518
60,Dandong,40.1167,124.3833,China,CN,2188436
61,Qinbaling,35.7278,107.64,China,CN,2179716
62,Gaoping,30.7824,106.1281,China,CN,2174000
63,Awka,6.2069,7.0678,Nigeria,NG,2171900
64,Taizhou,28.6557,121.4208,China,CN,2162461
65,Ma'anshan,31.669,118.507,China,CN,2159930
66,Harare,-17.8292,31.0522,Zimbabwe,ZW,2150000
67,Perth,-31.9559,115.8606,Australia,AU,2141834
68,St. Louis,38.6359,-90.2451,United States,US,2130881
69,Phnom Penh,11.5694,104.9211,Cambodia,KH,2129371
70,Depok,-6.394,106.8225,Indonesia,ID,2123349
71,Stockholm,59.3294,18.0686,Sweden,SE,2121000
72,Puning,23.298,116.166,China,CN,2118200
73,Huaibei,33.956,116.798,China,CN,2114276
74,Kowloon,22.3167,114.1833,Hong Kong,HK,2108419
75,Cordoba,-31.4167,-64.1833,Argentina,AR,2106734
76,Haiphong,20.8651,106.6838,Vietnam,VN,2103500
77,Zamboanga City,6.9042,122.0761,Philippines,PH,2100000
78,Chongzuo,22.377,107.365,China,CN,2099400
79,Rawalpindi,33.6,73.0333,Pakistan,PK,2098231
80,Portland,45.5371,-122.65,United States,US,2095808
